"","1p","1q","2p","2q","3p","3q","4p","4q","5p","5q","6p","6q","7p","7q","8p","8q","9p","9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"MMRF_1511",0,0,0,0,0,0.863,0,0,0.961,0.961,0.948,0.948,0.944,0.944,0,0,0.938,0.938,0,0,0,0,0,0,0,0,0.943,0,0,0,0,0,0,0.804,0.804,0,0,0.929,0
"MMRF_1510",-0.256,0.338,0.565,0.565,0.574,0.574,-0.258,-0.258,-0.248,-0.248,1.118,-0.262,0.609,0.609,-1.076,-0.261,0.835,0.835,-0.265,-0.265,0.562,0.562,-0.258,-0.258,-0.264,-0.266,0.567,-0.335,-0.335,0.535,0.535,0.576,0.576,0.529,0.529,-1.103,0,0.566,-0.29
"MMRF_1506",-0.992,0,0,0,0,0,-0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.982,0,0,-1.001,-1.001,0,0,-0.981,-0.981,0,0,0,0,0,-1.014
"MMRF_1309",0,0,0,0,0,0,0,0,0.95,0.95,0,-0.908,0.895,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0.885,0,0,0,0,0,0,0.639,0.639,0,0,0,-0.129
"MMRF_1045",0,0.945,0,0,0.971,0.971,0.989,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.957,0.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMRF_1048",0,0,0,0,0,0,0,0,0,0,0,-0.976,0,0,0,0,0,0,0,0,0,0,-0.983,0,-0.985,0,0,0,0,0,0,0,0,0.868,0,0,0,0,0
"MMRF_1098",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.95,-0.958,0,0,0,0,0,0,0,0,0,0,0,0,-0.983
"MMRF_1167",-0.626,0,0.684,0.044,0,0,-0.634,-0.634,0.66,0,0,-0.321,0,0,-1.293,0,0,0,-0.643,-0.643,0,0,-0.641,-0.641,-1.293,-0.637,0,-1.293,-1.293,-0.654,0,-0.649,-0.649,0.607,0,-0.642,0,-0.642,-0.657
"MMRF_1286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.886,0,0,0
"MMRF_1538",0,0,0,0,0.958,0.958,0,0,0.958,0.958,0.937,0.937,0.926,0.926,0,0,0.947,0.947,0,0,0.958,0.958,0,0,0,0,0.945,0,0,0,0,0,0,1.766,1.766,0,0,0,0
"MMRF_1556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114
